"battle_end_date","battle_end_time","serial","monster_id","is_win"
2024-10-15,00:00:58,1,3,false
2024-10-15,00:00:58,2,15,true
2024-10-15,00:00:58,3,9,false
2024-10-15,00:00:58,4,7,false
2024-10-15,00:01:52,1,1,false
2024-10-15,00:01:52,2,17,false
2024-10-15,00:01:52,3,14,false
2024-10-15,00:01:52,4,5,true
2024-10-15,22:51:22,1,7,false
2024-10-15,22:51:22,2,12,false
2024-10-15,22:51:22,3,16,true
2024-10-15,22:51:22,4,14,false
2024-10-15,23:03:26,1,6,false
2024-10-15,23:03:26,2,19,true
2024-10-15,23:03:26,3,16,false
2024-10-15,23:03:26,4,11,false
2024-10-15,23:25:10,1,8,false
2024-10-15,23:25:10,2,15,true
2024-10-15,23:25:10,3,10,false
2024-10-15,23:38:43,1,19,false
2024-10-15,23:38:43,2,13,true
2024-10-15,23:38:43,3,12,false
2024-10-16,21:01:35,1,3,false
2024-10-16,21:01:35,2,15,true
2024-10-16,21:01:35,3,12,false
2024-10-16,21:04:41,1,12,false
2024-10-16,21:04:41,2,14,true
2024-10-16,21:04:41,3,1,false
2024-10-16,21:10:59,1,4,false
2024-10-16,21:10:59,2,19,false
2024-10-16,21:10:59,3,11,true
2024-10-16,22:22:48,1,13,true
2024-10-16,22:22:48,2,8,false
2024-10-16,22:22:48,3,12,false
2024-10-17,03:42:06,1,6,false
2024-10-17,03:42:06,2,5,false
2024-10-17,03:42:06,3,11,true
2024-10-18,03:32:21,1,2,true
2024-10-18,03:32:21,2,19,false
2024-10-18,03:32:21,3,14,false
2024-10-18,03:37:28,1,9,false
2024-10-18,03:37:28,2,1,false
2024-10-18,03:37:28,3,4,false
2024-10-18,03:37:28,4,17,true
2024-10-18,03:39:45,1,18,false
2024-10-18,03:39:45,2,15,false
2024-10-18,03:39:45,3,3,true
2024-10-18,03:39:45,4,7,false
2024-10-18,22:56:52,1,16,true
2024-10-18,22:56:52,2,10,false
2024-10-18,22:56:52,3,8,false
2024-10-18,22:56:52,4,18,false
2024-10-18,23:26:42,1,18,false
2024-10-18,23:26:42,2,2,true
2024-10-18,23:26:42,3,12,false
2024-10-18,23:32:55,1,18,false
2024-10-18,23:32:55,2,2,false
2024-10-18,23:32:55,3,12,false
2024-10-18,23:32:55,4,9,true
2024-10-19,01:54:11,1,19,true
2024-10-19,01:54:11,2,7,false
2024-10-19,01:54:11,3,8,false
2024-10-19,01:54:11,4,5,false
2024-10-19,17:09:08,1,16,true
2024-10-19,17:09:08,2,15,false
2024-10-19,17:09:08,3,13,false
2024-10-19,17:09:08,4,1,false
2024-10-19,17:11:22,1,19,true
2024-10-19,17:11:22,2,10,false
2024-10-19,17:35:11,1,1,true
2024-10-19,17:35:11,2,5,false
2024-10-19,17:35:11,3,14,false
2024-10-19,17:35:11,4,18,false
2024-10-19,17:40:09,1,10,true
2024-10-19,17:40:09,2,4,false
2024-10-19,17:40:09,3,1,false
2024-10-19,17:40:09,4,6,false
2024-10-20,01:25:46,1,17,true
2024-10-20,01:25:46,2,13,false
2024-10-20,01:26:48,1,9,false
2024-10-20,01:26:48,2,6,false
2024-10-20,01:26:48,3,7,true
2024-10-20,01:26:48,4,19,false
2024-10-20,12:39:25,1,3,false
2024-10-20,12:39:25,2,2,true
2024-10-20,12:49:46,1,3,false
2024-10-20,12:49:46,2,12,true
2024-10-20,12:53:28,1,9,true
2024-10-20,12:53:28,2,10,false
2024-10-20,13:21:09,1,17,true
2024-10-20,13:21:09,2,10,false
2024-10-20,21:57:02,1,3,false
2024-10-20,21:57:02,2,12,false
2024-10-20,21:57:02,3,16,false
2024-10-20,21:57:02,4,6,true
2024-10-20,21:57:02,5,7,false
2024-10-20,21:57:02,6,11,false
2024-10-20,22:34:54,1,18,false
2024-10-20,22:34:54,2,6,true
2024-10-20,22:49:51,1,6,false
2024-10-20,22:49:51,2,11,false
2024-10-20,22:54:42,1,19,false
2024-10-20,22:54:42,2,3,false
2024-10-20,22:57:07,1,17,false
2024-10-20,22:57:07,2,16,false
2024-10-20,23:00:25,1,2,false
2024-10-20,23:00:25,2,1,true
2024-10-20,23:22:07,1,1,false
2024-10-20,23:22:07,2,8,false
2024-10-20,23:22:07,3,17,true
2024-10-23,20:56:34,1,10,false
2024-10-23,20:56:34,2,2,true
2024-10-23,20:59:18,1,3,false
2024-10-23,20:59:18,2,5,true
2024-10-23,21:09:24,1,8,false
2024-10-23,21:09:24,2,3,false
2024-10-23,21:09:24,3,12,true
2024-10-23,21:16:59,1,18,true
2024-10-23,21:16:59,2,1,false
2024-10-23,21:16:59,3,7,false
2024-10-23,21:39:10,1,16,true
